from,to,fromModule,toModule,Distance
migrateinm,AIDSDRATE,Demography,Demography,1994
migratebalancesw,AIDSDRATE,Economy,Demography,1956
contiguity,AIDSDRATE,Interstate,Demography,2024
migrateoutm,AIDSDRATE,Demography,Demography,1995
MIGRANTS,AIDSDRATE,Demography,Demography,1968
POP15TO65,AIDSDRATE,Demography,Demography,1968
POPFOREIGNIN,AIDSDRATE,Demography,Demography,1968
HIVRATE,AIDSDRATE,Demography,Demography,0
aidsdratem,AIDSDRATE,Demography,Demography,0
aidsdrtadvr,AIDSDRATE,Demography,Demography,0
DEATHCAT,AIDSDTHS,Health,Demography,0
POP,AIDSDTHS,Demography,Demography,0
DEATHS,AIDSDTHS,Demography,Demography,126
EDYRSAG25,AIDSDTHS,Education,Demography,550
GOVCORRUPT,AIDSDTHS,Economy,Demography,550
SFINTLWARMAG,AIDSDTHS,Sociopolitical,Demography,550
hlmortcdadltm,AIDSDTHS,Other,Demography,140
svtohlsw,AIDSDTHS,Other,Demography,140
AIDSDRATE,AIDSDTHS,Demography,Demography,0
AIDSDTHS,AIDSDTHSCM,Demography,Demography,0
aquaculm,AQUACUL,Agriculture,Agriculture,5
aquaculgr,AQUACUL,Agriculture,Agriculture,6
aquaculconv,AQUACUL,Agriculture,Agriculture,6
aglossprodm,AQUACUL,Agriculture,Agriculture,2
GDPPCP,AQUACUL,Economy,Agriculture,4
WATUSE,ASAGDP,Other,Environment,0
GDP,ASAGDP,Economy,Environment,0
LD,ASAGDP,Agriculture,Environment,11
CARANN,ASAGDP,Environment,Environment,0
ENP,ASAGDP,Energy,Environment,23
GDP,ASAGDPCUMCHG,Economy,Environment,0
ASAGDP,ASAGDPDMAT,Environment,Environment,0
ASAGDP,ASAGDPGRRB,Environment,Environment,0
GDP,ASAGDPGRRB,Economy,Environment,0
WATUSE,ASALAB,Other,Environment,0
LAB,ASALAB,Economy,Environment,0
LD,ASALAB,Agriculture,Environment,13
CARANN,ASALAB,Environment,Environment,0
ENP,ASALAB,Energy,Environment,25
LAB,ASALABCUMCHG,Economy,Environment,0
ASALAB,ASALABDMAT,Environment,Environment,0
ASALAB,ASALABGRRB,Environment,Environment,0
LAB,ASALABGRRB,Economy,Environment,0
WATUSE,ASAPOP,Other,Environment,0
POP,ASAPOP,Demography,Environment,0
LD,ASAPOP,Agriculture,Environment,12
CARANN,ASAPOP,Environment,Environment,0
ENP,ASAPOP,Energy,Environment,24
POP,ASAPOPCUMCHG,Demography,Environment,0
ASAPOP,ASAPOPDMAT,Environment,Environment,0
ASAPOP,ASAPOPGRRB,Environment,Environment,0
POP,ASAPOPGRRB,Demography,Environment,0
WATUSE,ASARAW,Other,Environment,0
LD,ASARAW,Agriculture,Environment,10
CARANN,ASARAW,Environment,Environment,0
ENP,ASARAW,Energy,Environment,22
ASARAW,ASARAWDMAT,Environment,Environment,0
POP,BIRTHS,Demography,Demography,0
TFR,BIRTHS,Demography,Demography,1
hltfrpeaklevel,BIRTHS,Other,Demography,16
hltfragepeak,BIRTHS,Other,Demography,17
hltfragestop,BIRTHS,Other,Demography,18
hltfragehalflife,BIRTHS,Other,Demography,15
hltfrageinit,BIRTHS,Other,Demography,19
HLSMOKING,C,Other,Economy,4
hlsmokingceiling,C,Other,Economy,4
I,C,Economy,Economy,837
DEATHS,C,Demography,Economy,837
POP,C,Demography,Economy,837
migrateinm,C,Demography,Economy,903
migratebalancesw,C,Economy,Economy,865
contiguity,C,Interstate,Economy,933
migrateoutm,C,Demography,Economy,904
MIGRANTS,C,Demography,Economy,877
POP15TO65,C,Demography,Economy,877
POPFOREIGNIN,C,Demography,Economy,877
IGCF,C,Economy,Economy,2
CS,C,Economy,Economy,6
GDPRPA,C,Economy,Economy,154
elasit,C,Economy,Economy,154
CSHHS,C,Economy,Economy,11
CSHHU,C,Economy,Economy,18
VADD,C,Economy,Economy,1328
WP,C,Economy,Economy,1328
GDP,C,Economy,Economy,1634
enon,C,Energy,Economy,12
agon,C,Agriculture,Economy,13
GDPPCP,C,Economy,Economy,87
igdpr,C,Economy,Economy,97
HHPOP,C,Economy,Economy,99
HHINC,C,Economy,Economy,326
HHTAX,C,Economy,Economy,326
HHGOVSS,C,Economy,Economy,326
invm,C,Economy,Economy,2
LIFEXP,C,Demography,Economy,6
INTR,C,Economy,Economy,299
ST,C,Economy,Economy,1073
dstl,C,Economy,Economy,1073
GDPPOT,C,Other,Economy,1166
ZS,C,Economy,Economy,1238
MS,C,Economy,Economy,1408
POPPREWORK,C,Demography,Economy,8
workageentry,C,Demography,Economy,19
POPWORKING,C,Demography,Economy,7
cpctnduse,C,Economy,Economy,9
POPRETIRED,C,Demography,Economy,6
workageretire,C,Demography,Economy,17
savingsdiscountrt,C,Other,Economy,13
WORKAGERETIREND,C,Demography,Economy,14
GOVHHPENT,C,Economy,Economy,5
CRA,C,Economy,Economy,228
caputtar,CAPUT,Economy,Economy,0
elaszs,CAPUT,Economy,Economy,0
dstl,CAPUT,Economy,Economy,1
GDPPOT,CAPUT,Other,Economy,3
ST,CAPUT,Economy,Economy,2
igdpr,CAPUT,Economy,Economy,2
ZS,CAPUT,Economy,Economy,8
MS,CAPUT,Economy,Economy,178
GDP,CAPUT,Economy,Economy,197
ENP,CARANN,Energy,Environment,26
carfuel1,CARANN,Environment,Environment,26
carfuel2,CARANN,Environment,Environment,26
carfuel3,CARANN,Environment,Environment,26
carannwi,CARANN,Environment,Environment,75
ENDEM,CARANN,Energy,Environment,6
carforst,CARFOROTH,Environment,Environment,0
LD,CARFOROTH,Agriculture,Environment,51
CARSTOT,CARS,Infrastructure,Infrastructure,0
carsm,CARS,Infrastructure,Infrastructure,0
carsconv,CARS,Infrastructure,Infrastructure,1
POP,CARS,Demography,Infrastructure,6
CARSTOT,CARSALPC,Infrastructure,Infrastructure,0
POP,CARSALPC,Demography,Infrastructure,0
carstotm,CARSTOT,Infrastructure,Infrastructure,0
carsconv,CARSTOT,Infrastructure,Infrastructure,0
GDP,CARSTOT,Economy,Infrastructure,4
GDPPCP,CARSTOT,Economy,Infrastructure,6
TRADSRAT,CARSTOT,Sociopolitical,Infrastructure,6
POP,CARSTOT,Demography,Infrastructure,0
SURVSE,CARSTOT,Sociopolitical,Infrastructure,2
BIRTHS,CBR,Demography,Demography,0
POP,CBR,Demography,Demography,0
ifsexomodelid,CBR,Other,Demography,32
TFR,CBR,Demography,Demography,5
igdpr,CDALF,Economy,Economy,2
POP,CDALF,Demography,Economy,2
GDP,CDALF,Economy,Economy,315
PPPCONV,CDALF,Economy,Economy,315
GDPPCP,CDALF,Economy,Economy,0
DEATHS,CDR,Demography,Demography,0
POP,CDR,Demography,Demography,0
LIFEXP,CDR,Demography,Demography,6
CBR,CDR,Demography,Demography,3
POP,CHILDDTHR,Demography,Demography,0
tmortr2,CHILDDTHR,Demography,Demography,1382
POP,CHLMOR,Demography,Demography,0
DEATHS,CHLMOR,Demography,Demography,40
EDYRSAG25,CHLMOR,Education,Demography,464
GOVCORRUPT,CHLMOR,Economy,Demography,464
SFINTLWARMAG,CHLMOR,Sociopolitical,Demography,464
hlmortcdadltm,CHLMOR,Other,Demography,54
svtohlsw,CHLMOR,Other,Demography,54
hlmortcdchldm,CHLMOR,Other,Demography,56
I,CHLMOR,Economy,Demography,1807
NPOW,CIVDM,Interstate,Interstate,1
nwarsv,CIVDM,Interstate,Interstate,1
elndpow,CIVDM,Interstate,Interstate,1
GDP,CIVDM,Economy,Interstate,0
cdmf,CIVDM,Interstate,Interstate,0
cwarsv,CIVDM,Interstate,Interstate,1
CPOW,CIVDM,Interstate,Interstate,1
CLPC,CLAVAL,Agriculture,Agriculture,0
POP,CLAVAL,Demography,Agriculture,0
IDS,CLD,Economy,Agriculture,0
IALK,CLD,Agriculture,Agriculture,0
LD,CLD,Agriculture,Agriculture,0
dkl,CLD,Agriculture,Agriculture,0
tgrld,CLD,Other,Agriculture,0
GDPPCP,CLD,Economy,Agriculture,0
landarablepot,CLD,Agriculture,Agriculture,4
climeconimplin,CLIMECONIMP,Environment,Environment,0
WTEMP,CLIMECONIMP,Environment,Environment,0
climeconimpsq,CLIMECONIMP,Environment,Environment,0
POP,CLNEED,Demography,Demography,0
clnf,CLNEED,Demography,Demography,0
ifsexomodelid,CLNEED,Other,Demography,0
I,CLNEED,Economy,Demography,243
DEATHS,CLNEED,Demography,Demography,243
migrateinm,CLNEED,Demography,Demography,309
migratebalancesw,CLNEED,Economy,Demography,271
contiguity,CLNEED,Interstate,Demography,339
migrateoutm,CLNEED,Demography,Demography,310
MIGRANTS,CLNEED,Demography,Demography,283
POP15TO65,CLNEED,Demography,Demography,283
POPFOREIGNIN,CLNEED,Demography,Demography,283
CLAVAL,CLPC,Agriculture,Agriculture,0
POP,CLPC,Demography,Agriculture,0
GRAMSPC,CLPC,Agriculture,Agriculture,0
aglossconsm,CLPC,Agriculture,Agriculture,3
GDPPCP,CLPC,Economy,Agriculture,4
clpcm,CLPC,Agriculture,Agriculture,0
malelimprecisesw,CLPC,Agriculture,Agriculture,3
HHINC,CLPC,Economy,Agriculture,12
malnelimtargetyr,CLPC,Agriculture,Agriculture,11
MALNPOPP,CLPC,Demography,Agriculture,7
WAP,CLPC,Agriculture,Agriculture,0
elasfd,CLPC,Agriculture,Agriculture,0
elasmd,CLPC,Agriculture,Agriculture,0
elascd,CLPC,Agriculture,Agriculture,0
calmax,CLPC,Agriculture,Agriculture,9
agconv,CLPC,Agriculture,Agriculture,13
CULTREG,CLPC,Sociopolitical,Agriculture,4
carprein,CO2PER,Environment,Environment,0
CARFOROTH,CO2PER,Environment,Environment,4
carabr,CO2PER,Environment,Environment,4
ENP,CO2PER,Energy,Environment,3
carfuel1,CO2PER,Environment,Environment,3
carfuel2,CO2PER,Environment,Environment,3
carfuel3,CO2PER,Environment,Environment,3
carinit,CO2PER,Environment,Environment,53
carannwi,CO2PER,Environment,Environment,52
co2prein,CO2PPM,Environment,Environment,0
CO2PER,CO2PPM,Environment,Environment,0
contrusm,CONTRUSE,Demography,Demography,0
tconr,CONTRUSE,Demography,Demography,1
I,CONTRUSE,Economy,Demography,302
DEATHS,CONTRUSE,Demography,Demography,302
POP,CONTRUSE,Demography,Demography,302
GDPPCP,CONTRUSE,Economy,Demography,6
migrateinm,CONTRUSE,Demography,Demography,368
migratebalancesw,CONTRUSE,Economy,Demography,330
contiguity,CONTRUSE,Interstate,Demography,398
migrateoutm,CONTRUSE,Demography,Demography,369
cookstovesadd,COOKSTOVES,Other,Other,7
ENSOLFUEL,COOKSTOVES,Other,Other,0
HHTOTAL,COOKSTOVES,Demography,Other,0
I,COOKSTOVES,Economy,Other,13
LIFEXP,CPCTND,Demography,Economy,1
workageretiresv,CPCTND,Demography,Economy,1
workageentry,CPCTND,Demography,Economy,1
savingsdiscountrt,CPCTND,Other,Economy,1
workageretire,CPCTND,Demography,Economy,0
drcpow,CPOW,Interstate,Interstate,0
GDS,CPOW,Sociopolitical,Interstate,0
nmilf,CPOW,Interstate,Interstate,0
cpowf,CPOW,Interstate,Interstate,0
igdpr,CPOW,Economy,Interstate,0
cpowdf,CPOW,Interstate,Interstate,6
CWAR,CPOW,Interstate,Interstate,6
NPOW,CPOW,Interstate,Interstate,5
nwarsv,CPOW,Interstate,Interstate,5
elndpow,CPOW,Interstate,Interstate,5
cwarsv,CPOW,Interstate,Interstate,8
cpowldcf,cpowf,Interstate,Interstate,0
GDPPC,cpowf,Economy,Interstate,0
C,CPREWORK,Economy,Economy,0
CRETIRE,CPREWORK,Economy,Economy,1
CWORKING,CPREWORK,Economy,Economy,2
POPPREWORK,CPREWORK,Demography,Economy,11
POP,CPREWORK,Demography,Economy,11
workageentry,CPREWORK,Demography,Economy,22
POPWORKING,CPREWORK,Demography,Economy,10
cpctnduse,CPREWORK,Economy,Economy,12
POPRETIRED,CPREWORK,Demography,Economy,9
workageretire,CPREWORK,Demography,Economy,20
LIFEXP,CPREWORK,Demography,Economy,20
savingsdiscountrt,CPREWORK,Other,Economy,16
WORKAGERETIREND,CPREWORK,Demography,Economy,17
C,CRA,Economy,Economy,3
HHPOP,CRA,Economy,Economy,106
igdpr,CRA,Economy,Economy,104
HHINC,CRA,Economy,Economy,333
HHTAX,CRA,Economy,Economy,333
HHGOVSS,CRA,Economy,Economy,333
GDPPCP,CRA,Economy,Economy,9
C,CRETIRE,Economy,Economy,0
GDPPC,CRETIRE,Economy,Economy,1
POPRETIRED,CRETIRE,Demography,Economy,1
GOVHHPENT,CRETIRE,Economy,Economy,1
POP,CRETIRE,Demography,Economy,11
workageretire,CRETIRE,Demography,Economy,22
LIFEXP,CRETIRE,Demography,Economy,22
POPPREWORK,CRETIRE,Demography,Economy,13
workageentry,CRETIRE,Demography,Economy,24
POPWORKING,CRETIRE,Demography,Economy,12
cpctnduse,CRETIRE,Economy,Economy,14
savingsdiscountrt,CRETIRE,Other,Economy,18
WORKAGERETIREND,CRETIRE,Demography,Economy,19
CSHHU,CS,Economy,Economy,0
CSHHS,CS,Economy,Economy,0
C,CS,Economy,Economy,2
agon,CS,Agriculture,Economy,0
enon,CS,Energy,Economy,0
engel,CS,Economy,Economy,371
ZS,CS,Economy,Economy,627
IGCF,CS,Economy,Economy,2
GDPRPA,CS,Economy,Economy,109
elasit,CS,Economy,Economy,109
VADD,CS,Economy,Economy,1283
WP,CS,Economy,Economy,1283
GDP,CS,Economy,Economy,1589
FDEM,CS,Agriculture,Economy,0
WAP,CS,Agriculture,Economy,323
ENDEM,CS,Energy,Economy,0
CSHHU,CSHHS,Economy,Economy,9
C,CSHHS,Economy,Economy,13
CS,CSHHS,Economy,Economy,26
igdpr,CSHHS,Economy,Economy,149
CRA,CSHHS,Economy,Economy,360
HHPOP,CSHHS,Economy,Economy,151
HHINC,CSHHS,Economy,Economy,378
HHTAX,CSHHS,Economy,Economy,378
HHGOVSS,CSHHS,Economy,Economy,378
agon,CSHHS,Agriculture,Economy,0
enon,CSHHS,Energy,Economy,0
engel,CSHHS,Economy,Economy,347
GDPPCP,CSHHS,Economy,Economy,369
ZS,CSHHS,Economy,Economy,650
CS,CSHHU,Economy,Economy,19
C,CSHHU,Economy,Economy,6
igdpr,CSHHU,Economy,Economy,142
CRA,CSHHU,Economy,Economy,353
HHPOP,CSHHU,Economy,Economy,144
HHINC,CSHHU,Economy,Economy,371
HHTAX,CSHHU,Economy,Economy,371
HHGOVSS,CSHHU,Economy,Economy,371
agon,CSHHU,Agriculture,Economy,0
enon,CSHHU,Energy,Economy,0
CSHHS,CSHHU,Economy,Economy,343
engel,CSHHU,Economy,Economy,340
GDPPCP,CSHHU,Economy,Economy,362
ZS,CSHHU,Economy,Economy,643
TRADEBAL,CURACT,Economy,Economy,0
AID,CURACT,Sociopolitical,Economy,0
XWORKREMIT,CURACT,Economy,Economy,0
lintr,CURACT,Economy,Economy,1
XIMFCREDIT,CURACT,Economy,Economy,6
XWBLOANS,CURACT,Economy,Economy,6
XFDISTOCK,CURACT,Economy,Economy,5
XFDISTOUT,CURACT,Economy,Economy,5
XFIRMDEBT,CURACT,Economy,Economy,3
XGOVTDEBT,CURACT,Economy,Economy,2
XPORTFOLIO,CURACT,Economy,Economy,4
XPORTSTOUT,CURACT,Economy,Economy,4
cwarbase,CWARPB,Interstate,Interstate,0
THREAT,CWARPB,Interstate,Interstate,1
wpthrwar,CWARPB,Interstate,Interstate,1
C,CWORKING,Economy,Economy,0
CRETIRE,CWORKING,Economy,Economy,2
CPREWORK,CWORKING,Economy,Economy,3
POPWORKING,CWORKING,Demography,Economy,11
POP,CWORKING,Demography,Economy,11
cpctnduse,CWORKING,Economy,Economy,13
workageentry,CWORKING,Demography,Economy,22
workageretire,CWORKING,Demography,Economy,22
POPPREWORK,CWORKING,Demography,Economy,12
POPRETIRED,CWORKING,Demography,Economy,10
LIFEXP,CWORKING,Demography,Economy,21
savingsdiscountrt,CWORKING,Other,Economy,17
WORKAGERETIREND,CWORKING,Demography,Economy,18
ENVPM2PT5,DEATHCAT,Environment,Health,358
hlpm2pt5sw,DEATHCAT,Other,Health,358
DEATHS,DEATHCAT,Demography,Health,124
EDYRSAG25,DEATHCAT,Education,Health,548
GOVCORRUPT,DEATHCAT,Economy,Health,548
SFINTLWARMAG,DEATHCAT,Sociopolitical,Health,548
POP,DEATHCAT,Demography,Health,126
hlmortcdadltm,DEATHCAT,Other,Health,138
svtohlsw,DEATHCAT,Other,Health,138
POP,DEATHS,Demography,Demography,17
EDYRSAG25,DEATHS,Education,Demography,454
GOVCORRUPT,DEATHS,Economy,Demography,454
SFINTLWARMAG,DEATHS,Sociopolitical,Demography,454
hlmortcdadltm,DEATHS,Other,Demography,44
svtohlsw,DEATHS,Other,Demography,44
hlmortcdchldm,DEATHS,Other,Demography,46
I,DEATHS,Economy,Demography,1797
tmortr2,DEATHS,Demography,Demography,15
tmortr,DEATHS,Demography,Demography,16
GDPPCP,DEATHS,Economy,Demography,273
LIFEXP,DEATHS,Demography,Demography,32
CIVDM,DEATHS,Interstate,Demography,17
mortconv,DEATHS,Demography,Demography,208
mortm,DEATHS,Demography,Demography,18
MORTMG,DEATHS,Sociopolitical,Demography,18
AIDSDTHS,DEATHS,Demography,Demography,211
migrateinm,DEATHS,Demography,Demography,513
migratebalancesw,DEATHS,Economy,Demography,475
contiguity,DEATHS,Interstate,Demography,543
deathtrpvm,DEATHTRPV,Health,Demography,0
VEHICFLPC,DEATHTRPV,Infrastructure,Demography,5
deathtrpvsetar,DEATHTRPV,Demography,Demography,1
deathtrpvseyrtar,DEATHTRPV,Demography,Demography,1
POP,DEATHTRPV,Demography,Demography,6
GDPPCP,DEMOCEXP,Economy,Sociopolitical,9
EDYRSAG15,DEMOCEXP,Education,Sociopolitical,15
DEMOCWAVE,DEMOCPOLITY,Sociopolitical,Sociopolitical,18
swseffmax,DEMOCPOLITY,Sociopolitical,Sociopolitical,0
swseffects,DEMOCPOLITY,Sociopolitical,Sociopolitical,0
swingstsdem,DEMOCPOLITY,Sociopolitical,Sociopolitical,33
SWINGSTS,DEMOCPOLITY,Other,Sociopolitical,33
democconv,DEMOCPOLITY,Demography,Sociopolitical,0
GEM,DEMOCPOLITY,Sociopolitical,Sociopolitical,117
YTHBULGE,DEMOCPOLITY,Demography,Sociopolitical,117
ENX,DEMOCPOLITY,Energy,Sociopolitical,145
ENPRI,DEMOCPOLITY,Energy,Sociopolitical,145
GDP,DEMOCPOLITY,Economy,Sociopolitical,145
democm,DEMOCPOLITY,Sociopolitical,Sociopolitical,0
democpolitysetar,DEMOCPOLITY,Sociopolitical,Sociopolitical,1
democpolityseyrtar,DEMOCPOLITY,Sociopolitical,Sociopolitical,1
democwvmax,DEMOCWAVE,Sociopolitical,Sociopolitical,1
democimpoth,DEMOCWAVE,Sociopolitical,Sociopolitical,0
democimpus,DEMOCWAVE,Sociopolitical,Sociopolitical,1
democimpusn,DEMOCWAVE,Sociopolitical,Sociopolitical,1
eldemocimp,DEMOCWAVE,Sociopolitical,Sociopolitical,1
democwvlen,DEMOCWAVE,Sociopolitical,Sociopolitical,1
DEMOCWVCOUNT,DEMOCWVDIR,Sociopolitical,Sociopolitical,0
democwvlen,DEMOCWVDIR,Sociopolitical,Sociopolitical,0
DIPLOEMBASSYMAX,DIPLOEMBASSY,Interstate,Interstate,0
M,DIPLOEMBASSY,Economy,Interstate,6
GDP,DIPLOEMBASSY,Economy,Interstate,6
X,DIPLOEMBASSY,Economy,Interstate,6
POWER,DIPLOEMBASSY,Interstate,Interstate,6
diploembassymaxm,DIPLOEMBASSYMAX,Interstate,Interstate,0
DIPLOIGOMAX,DIPLOIGO,Interstate,Interstate,0
DEMOCPOLITY,DIPLOIGO,Sociopolitical,Interstate,7
GDPPCP,DIPLOIGO,Economy,Interstate,7
diploigomaxm,DIPLOIGOMAX,Interstate,Interstate,0
diploingoadvocacym,DIPLOINGOADVOCACY,Interstate,Interstate,0
diploingoadvocacyconv,DIPLOINGOADVOCACY,Interstate,Interstate,0
DIPLOEMBASSY,DIPLOINGOADVOCACY,Interstate,Interstate,1
X,DIPLOINGOADVOCACY,Economy,Interstate,1
M,DIPLOINGOADVOCACY,Economy,Interstate,1
GDP,DIPLOINGOADVOCACY,Economy,Interstate,1
DEMOCPOLITY,DIPLOINGOADVOCACY,Sociopolitical,Interstate,1
GOVREGQUAL,DIPLOINGOADVOCACY,Other,Interstate,1
POP,DIPLOINGOADVOCACY,Demography,Interstate,1
diploingoprogramm,DIPLOINGOPROGRAM,Interstate,Interstate,0
diploingoprogramconv,DIPLOINGOPROGRAM,Interstate,Interstate,0
INFRAROADPAVEDPCNT,DIPLOINGOPROGRAM,Other,Interstate,1
GOVCORRUPT,DIPLOINGOPROGRAM,Economy,Interstate,1
DIPLOEMBASSY,DIPLOINGOPROGRAM,Interstate,Interstate,1
DEMOCPOLITY,DIPLOINGOPROGRAM,Sociopolitical,Interstate,1
POP,DIPLOINGOPROGRAM,Demography,Interstate,1
DIPLOTREATYMAX,DIPLOTREATY,Interstate,Interstate,0
diplodistancetoeu,DIPLOTREATY,Interstate,Interstate,8
DEMOCPOLITY,DIPLOTREATY,Sociopolitical,Interstate,8
diplotreatymaxm,DIPLOTREATYMAX,Interstate,Interstate,0
druguseamphetaminem,DRUGUSEAMPHETAMINE,Other,Demography,0
drugusepolyindex,DRUGUSEAMPHETAMINE,Other,Demography,0
DRUGUSECOCAINE,DRUGUSEAMPHETAMINE,Demography,Demography,8
DRUGUSEOPIATES,DRUGUSEAMPHETAMINE,Demography,Demography,8
DRUGUSEPRESCRIPTOPIOID,DRUGUSEAMPHETAMINE,Demography,Demography,8
drugglobalconv,DRUGUSEAMPHETAMINE,Other,Demography,5
YTHBULGE,DRUGUSEAMPHETAMINE,Demography,Demography,7
C,DRUGUSEAMPHETAMINE,Economy,Demography,23
POP,DRUGUSEAMPHETAMINE,Demography,Demography,23
GEM,DRUGUSEAMPHETAMINE,Sociopolitical,Demography,2
drugusecocainem,DRUGUSECOCAINE,Other,Demography,0
drugusepolyindex,DRUGUSECOCAINE,Other,Demography,0
DRUGUSEAMPHETAMINE,DRUGUSECOCAINE,Demography,Demography,9
DRUGUSEOPIATES,DRUGUSECOCAINE,Demography,Demography,9
DRUGUSEPRESCRIPTOPIOID,DRUGUSECOCAINE,Demography,Demography,9
drugglobalconv,DRUGUSECOCAINE,Other,Demography,6
YTHBULGE,DRUGUSECOCAINE,Demography,Demography,8
C,DRUGUSECOCAINE,Economy,Demography,24
POP,DRUGUSECOCAINE,Demography,Demography,24
GEM,DRUGUSECOCAINE,Sociopolitical,Demography,2
GINIDOM,DRUGUSECOCAINE,Sociopolitical,Demography,2
druguseopiatesm,DRUGUSEOPIATES,Other,Demography,0
drugusepolyindex,DRUGUSEOPIATES,Other,Demography,0
DRUGUSEAMPHETAMINE,DRUGUSEOPIATES,Demography,Demography,10
DRUGUSECOCAINE,DRUGUSEOPIATES,Demography,Demography,10
DRUGUSEPRESCRIPTOPIOID,DRUGUSEOPIATES,Demography,Demography,10
drugglobalconv,DRUGUSEOPIATES,Other,Demography,7
YTHBULGE,DRUGUSEOPIATES,Demography,Demography,9
C,DRUGUSEOPIATES,Economy,Demography,25
POP,DRUGUSEOPIATES,Demography,Demography,25
INCOMELT310LN,DRUGUSEOPIATES,Sociopolitical,Demography,2
POPGT65,DRUGUSEOPIATES,Demography,Demography,2
